"city1","city2","duration_trajet"
"Houston","Minnesota",19.8094444444444
"Philadelphie","Minnesota",19.7841666666667
"Utah","Minnesota",21.7027777777778
"Golden State","Minnesota",29.2475
"Phoenix","Minnesota",26.6680555555556
"New Jersey","Minnesota",20.6622222222222
"Orlando","Minnesota",24.6227777777778
"San Antonio","Minnesota",20.3830555555556
"Detroit","New Jersey",9.82194444444444
"Charlotte","New Jersey",9.15055555555556
"Toronto","New Jersey",8.53638888888889
"Indiana","New Jersey",11.0505555555556
"Brooklyn","New Jersey",1.84361111111111
"Atlanta","New Jersey",12.5794444444444
"Oklahoma","New Jersey",21.7611111111111
"Seattle","New Jersey",41.5525
"Denver","New Jersey",26.0261111111111
"Los Angeles","New Jersey",40.0347222222222
"Dallas","New Jersey",22.3638888888889
"Minnesota","New Jersey",20.6894444444444
"Cleveland","New Jersey",7.50166666666667
"Golden State","New Jersey",42.1447222222222
"Memphis","New Jersey",15.8505555555556
"Washington D.C","New Jersey",3.41361111111111
"Portland","New Jersey",42.2094444444444
"New York","New Jersey",1.66111111111111
"Miami","New Jersey",18.0061111111111
"New Orleans","New Jersey",18.8013888888889
"Philadelphie","New Jersey",1.34916666666667
"Utah","New Jersey",33.6113888888889
"Houston","New Jersey",23.3955555555556
"Chicago","New Jersey",12.2680555555556
"Milwaukee","New Jersey",13.6744444444444
"New Jersey","New Jersey",0
"Boston","New Jersey",4.88722222222222
"San Antonio","New Jersey",26.2044444444444
"Orlando","New Jersey",15.115
"Phoenix","New Jersey",35.2502777777778
"Sacramento","New Jersey",41.0566666666667
"Vancover","New Jersey",43.9044444444444
"Brooklyn","New Orleans",19.4130555555556
"Oklahoma","New Orleans",9.85722222222222
"Golden State","New Orleans",30.0011111111111
"Houston","New Orleans",5.13055555555556
"Charlotte","New Orleans",10.2963888888889
"Milwaukee","New Orleans",14.5916666666667
"Denver","New Orleans",19.2597222222222
"Indiana","New Orleans",12.49
"Los Angeles","New Orleans",26.7525
"New Jersey","New Orleans",18.8166666666667
"Cleveland","New Orleans",15.2383333333333
"Seattle","New Orleans",38.1169444444444
"Minnesota","New Orleans",20.2330555555556
"Dallas","New Orleans",7.405
"Boston","New Orleans",22.3888888888889
"Toronto","New Orleans",19.3088888888889
"Sacramento","New Orleans",32.1722222222222
"New York","New Orleans",19.1486111111111
"Chicago","New Orleans",13.3225
"New Orleans","New Orleans",0
"Atlanta","New Orleans",6.63944444444444
"Miami","New Orleans",12.1083333333333
"Portland","New Orleans",37.0769444444444
"Vancover","New Orleans",40.4688888888889
"Detroit","New Orleans",15.6730555555556
"Washington D.C","New Orleans",15.8111111111111
"Orlando","New Orleans",8.98916666666667
"Utah","New Orleans",26.1141666666667
"Memphis","New Orleans",5.64083333333333
"Phoenix","New Orleans",21.4808333333333
"Philadelphie","New Orleans",17.8805555555556
"San Antonio","New Orleans",7.93916666666667
"Dallas","New York",22.675
"Charlotte","New York",9.53472222222222
"Vancover","New York",43.5877777777778
"New Orleans","New York",19.1125
"Atlanta","New York",12.9636111111111
"New Jersey","New York",1.605
"Brooklyn","New York",0.416666666666667
"Detroit","New York",9.50527777777778
"Minnesota","New York",20.3727777777778
"Indiana","New York",11.3055555555556
"Oklahoma","New York",22.0161111111111
"Memphis","New York",16.1616666666667
"New York","New York",0
"Houston","New York",23.7069444444444
"Chicago","New York",11.9513888888889
"Cleveland","New York",7.185
"Boston","New York",3.70805555555556
"Los Angeles","New York",40.0555555555556
"Utah","New York",33.38
"Denver","New York",25.8288888888889
"Golden State","New York",42.1655555555556
"Milwaukee","New York",13.3577777777778
"Seattle","New York",41.2358333333333
"Miami","New York",18.3902777777778
"San Antonio","New York",26.5155555555556
"Toronto","New York",7.72888888888889
"Portland","New York",41.8927777777778
"Sacramento","New York",40.74
"Washington D.C","New York",3.79805555555556
"Orlando","New York",15.4994444444444
"Philadelphie","New York",1.76472222222222
"Phoenix","New York",35.5052777777778
"Oklahoma","Oklahoma",0
